visit_date,device_category,page_type,event_category,event_action,count_events,holiday,weekend,day_off
2022-07-10,desktop,B2B,Engagement,Click-Project Review PDP,5,0,1,1
2022-07-10,desktop,LDP,Engagement,Click-Report Listing LDP,3,0,1,1
2022-07-10,mobile,LDP,Engagement,Click-Report Listing LDP,95,0,1,1
2022-07-10,tablet,LDP,Engagement,Click-Report Listing LDP,4,0,1,1
2022-07-10,tablet,LDP,Engagement,View Expired Listing LDP,38,0,1,1
2022-07-10,mobile,LDP,Engagement,View Expired Listing LDP,1937,0,1,1
2022-07-10,desktop,LDP,Engagement,View Expired Listing LDP,462,0,1,1
2022-07-10,desktop,Other Consumer Pages,Engagement,Click-SRP Suggestion Link,9,0,1,1
2022-07-10,mobile,SRP,Engagement,Click-SRP Suggestion Link,12856,0,1,1
2022-07-10,desktop,SRP,Engagement,Click-SRP Suggestion Link,5236,0,1,1
2022-07-10,tablet,LDP,Engagement,Click-SRP Suggestion Link,191,0,1,1
2022-07-10,mobile,LDP,Engagement,Click-SRP Suggestion Link,4285,0,1,1
2022-07-10,desktop,LDP,Engagement,Click-SRP Suggestion Link,1262,0,1,1
2022-07-10,tablet,SRP,Engagement,Click-SRP Suggestion Link,585,0,1,1
2022-07-10,mobile,Other Consumer Pages,Engagement,Click-SRP Suggestion Link,12,0,1,1
2022-07-10,desktop,B2B,Engagement,Zoom-Location Insight PDP,261,0,1,1
2022-07-10,mobile,B2B,Engagement,Zoom-Location Insight PDP,439,0,1,1
2022-07-10,tablet,B2B,Engagement,Zoom-Location Insight PDP,24,0,1,1
2022-07-10,desktop,B2B,Engagement,Click-Location Insight PDP,11,0,1,1
2022-07-10,tablet,B2B,Engagement,Click-Location Insight PDP,2,0,1,1
2022-07-10,mobile,B2B,Engagement,Click-Location Insight PDP,75,0,1,1
2022-07-10,mobile,B2B,Engagement,Click-View Flat Layout PDP,10,0,1,1
2022-07-10,desktop,B2B,Engagement,Click-View Flat Layout PDP,24,0,1,1
2022-07-10,mobile,SellerNet,Listing Creation,Display-Submission Message,1,0,1,1
2022-07-10,desktop,B2B,Engagement,Navigate-HeaderMenu to PLP,27,0,1,1
2022-07-10,mobile,SRP,Engagement,Navigate-HeaderMenu to PLP,19,0,1,1
2022-07-10,desktop,LDP,Engagement,Navigate-HeaderMenu to PLP,11,0,1,1
2022-07-10,mobile,B2B,Engagement,Navigate-HeaderMenu to PLP,16,0,1,1
2022-07-10,desktop,Other Consumer Pages,Engagement,Navigate-HeaderMenu to PLP,30,0,1,1
2022-07-10,mobile,LDP,Engagement,Navigate-HeaderMenu to PLP,4,0,1,1
2022-07-10,desktop,SRP,Engagement,Navigate-HeaderMenu to PLP,27,0,1,1
2022-07-10,tablet,B2B,Engagement,Navigate-HeaderMenu to PLP,1,0,1,1
2022-07-10,mobile,Other Consumer Pages,Engagement,Navigate-HeaderMenu to PLP,66,0,1,1
2022-07-10,tablet,SRP,Engagement,Navigate From Ad SRP to LDP,5,0,1,1
2022-07-10,desktop,SRP,Engagement,Navigate From Ad SRP to LDP,25,0,1,1
2022-07-10,mobile,SRP,Engagement,Navigate From Ad SRP to LDP,223,0,1,1
2022-07-10,mobile,LDP,Conversion,Click Request Contact button,629,0,1,1
2022-07-10,tablet,LDP,Conversion,Click Request Contact button,23,0,1,1
2022-07-10,desktop,LDP,Conversion,Click Request Contact button,71,0,1,1
2022-07-10,mobile,SellerNet,Listing Management,Click-Confirm Up Listing LMP,10,0,1,1
2022-07-10,desktop,B2B,Engagement,Click-Project Layout Tab PDP,30,0,1,1
2022-07-10,tablet,B2B,Engagement,Click-Project Layout Tab PDP,8,0,1,1
2022-07-10,mobile,B2B,Engagement,Click-Project Layout Tab PDP,81,0,1,1
2022-07-10,mobile,B2B,Engagement,Display-Relative Project PDP,518,0,1,1
2022-07-10,tablet,B2B,Engagement,Display-Relative Project PDP,59,0,1,1
2022-07-10,desktop,B2B,Engagement,Display-Relative Project PDP,689,0,1,1
2022-07-10,desktop,B2B,Engagement,Click-Show Payment Result PDP,1,0,1,1
2022-07-10,mobile,B2B,Engagement,Click-Show Payment Result PDP,78,0,1,1
2022-07-10,desktop,Legacy,Engagement,Click-Switch to New SellerNet,9,0,1,1
2022-07-10,desktop,B2B,Engagement,Click-View Detail Payment PDP,21,0,1,1
2022-07-10,mobile,B2B,Engagement,Click-View Detail Payment PDP,36,0,1,1
2022-07-10,tablet,B2B,Engagement,Click-View Detail Payment PDP,1,0,1,1
2022-07-10,desktop,B2B,Engagement,Click-View Layout Picture PDP,15,0,1,1
2022-07-10,mobile,B2B,Engagement,Click-View Layout Picture PDP,8,0,1,1
2022-07-10,tablet,Other Consumer Pages,Engagement,Navigate -Company Page to PDP,6,0,1,1
2022-07-10,desktop,Other Consumer Pages,Engagement,Navigate -Company Page to PDP,3,0,1,1
2022-07-10,mobile,Other Consumer Pages,Engagement,Navigate -Company Page to PDP,7,0,1,1
2022-07-10,desktop,Other Consumer Pages,Engagement,Navigate-Saved Listing to LDP,36,0,1,1
2022-07-10,tablet,Other Consumer Pages,Engagement,Navigate-Saved Listing to LDP,5,0,1,1
2022-07-10,desktop,LDP,Engagement,Navigate-Saved Listing to LDP,1,0,1,1
2022-07-10,mobile,Other Consumer Pages,Engagement,Navigate-Saved Listing to LDP,349,0,1,1
2022-07-10,desktop,SRP,Engagement,Navigate-Saved Listing to LDP,7,0,1,1
2022-07-10,desktop,B2B,Engagement,Click-Project Position Tab PDP,12,0,1,1
2022-07-10,mobile,B2B,Engagement,Click-Project Position Tab PDP,48,0,1,1
2022-07-10,tablet,B2B,Engagement,Click-Project Position Tab PDP,2,0,1,1
2022-07-10,desktop,B2B,Engagement,Click-Relevant Project Tab PDP,4,0,1,1
2022-07-10,mobile,B2B,Engagement,Click-Relevant Project Tab PDP,7,0,1,1
2022-07-10,mobile,Other Consumer Pages,Engagement,Click-Simmilar Company Profile,3,0,1,1
2022-07-10,desktop,Other Consumer Pages,Engagement,Click-Simmilar Company Profile,1,0,1,1
2022-07-10,tablet,Other Consumer Pages,Engagement,Click-Simmilar Company Profile,4,0,1,1
2022-07-10,tablet,LDP,Engagement,Click-Utility Tool Page on LDP,1,0,1,1
2022-07-10,desktop,LDP,Engagement,Click-Utility Tool Page on LDP,7,0,1,1
2022-07-10,desktop,SRP,Engagement,Click-Utility Tool Page on SRP,10,0,1,1
2022-07-10,mobile,B2B,Engagement,Add-Custom Location Insight PDP,3,0,1,1
2022-07-10,tablet,B2B,Engagement,Navigate-PDP to Company Profile,2,0,1,1
2022-07-10,desktop,B2B,Engagement,Navigate-PDP to Company Profile,7,0,1,1
2022-07-10,mobile,B2B,Engagement,Navigate-PDP to Company Profile,15,0,1,1
2022-07-10,mobile,LDP,Engagement,Click-Listing from Same User LDP,2288,0,1,1
2022-07-10,desktop,LDP,Engagement,Click-Listing from Same User LDP,539,0,1,1
2022-07-10,tablet,LDP,Engagement,Click-Listing from Same User LDP,76,0,1,1
2022-07-10,desktop,B2B,Engagement,Click-Project Layout Section PDP,28,0,1,1
2022-07-10,mobile,B2B,Engagement,Click-Project Layout Section PDP,50,0,1,1
2022-07-10,desktop,SRP,Engagement,Navigate-SRP Project Info to PDP,3,0,1,1
2022-07-10,desktop,LDP,Engagement,Click-Listing in same area in LDP,3570,0,1,1
2022-07-10,tablet,LDP,Engagement,Click-Listing in same area in LDP,615,0,1,1
2022-07-10,mobile,LDP,Engagement,Click-Listing in same area in LDP,17239,0,1,1
2022-07-10,mobile,Other Consumer Pages,Engagement,Click-Listing in same area in LDP,20,0,1,1
2022-07-10,mobile,B2B,Engagement,Navigate-PLP to Project News List,2,0,1,1
2022-07-10,mobile,LDP,Engagement,Click-Recent viewed listing in LDP,4319,0,1,1
2022-07-10,mobile,Other Consumer Pages,Engagement,Click-Recent viewed listing in LDP,2,0,1,1
2022-07-10,tablet,LDP,Engagement,Click-Recent viewed listing in LDP,205,0,1,1
2022-07-10,desktop,Other Consumer Pages,Engagement,Click-Recent viewed listing in LDP,1,0,1,1
2022-07-10,desktop,LDP,Engagement,Click-Recent viewed listing in LDP,1233,0,1,1
2022-07-10,tablet,Other Consumer Pages,Engagement,Click-Recent viewed listing in LDP,1,0,1,1
2022-07-10,desktop,B2B,Engagement,Click-View Bank Payment Policy PDP,1,0,1,1
2022-07-10,mobile,B2B,Engagement,Click-View Bank Payment Policy PDP,3,0,1,1
2022-07-10,mobile,Other Consumer Pages,Engagement,Display-Listing in same area in LDP,53,0,1,1
2022-07-10,desktop,LDP,Engagement,Display-Listing in same area in LDP,21814,0,1,1
2022-07-10,mobile,LDP,Engagement,Display-Listing in same area in LDP,83952,0,1,1
2022-07-10,desktop,Other Consumer Pages,Engagement,Display-Listing in same area in LDP,4,0,1,1
2022-07-10,tablet,Other Consumer Pages,Engagement,Display-Listing in same area in LDP,1,0,1,1
2022-07-10,tablet,LDP,Engagement,Display-Listing in same area in LDP,2672,0,1,1
2022-07-10,mobile,Other Consumer Pages,Engagement,Display-Recent viewed listing in LDP,36,0,1,1
2022-07-10,tablet,LDP,Engagement,Display-Recent viewed listing in LDP,1612,0,1,1
2022-07-10,desktop,Other Consumer Pages,Engagement,Display-Recent viewed listing in LDP,4,0,1,1
2022-07-10,tablet,Other Consumer Pages,Engagement,Display-Recent viewed listing in LDP,1,0,1,1
2022-07-10,mobile,LDP,Engagement,Display-Recent viewed listing in LDP,43971,0,1,1
2022-07-10,desktop,LDP,Engagement,Display-Recent viewed listing in LDP,13194,0,1,1
2022-07-10,mobile,B2B,Engagement,Navigate-PLP Featured Project To PDP,6,0,1,1
